review_id,order_id,review_score,review_creation_date,review_answer_timestamp
f2d18caf88d14107ab8125b5e0b9ce24,bb59a3f5e6804be6831960a72d691d75,2,2017-01-22 02:01:12,2017-01-22 18:01:12
de7f094a31214786a1ffe14089657edb,768c38019e624d58a2664e20aa4bf733,5,2017-02-10 18:57:11,2017-02-10 21:57:11
d4493a30a7374e97b9f17f6836e10802,445f34b83bd843d5a0f5d1481d7c7f6f,5,2017-02-03 13:38:52,2017-02-04 01:38:52
1add1eb9349c4f06b2c7b41547d6c4fa,5317cd4429524bf0b10d1ec3d66e10fb,5,2017-01-31 18:06:16,2017-02-01 00:06:16
67a5aae2948045b2bdead78b42021cfb,0879475d183e4218ab33ce360a8631be,4,2017-02-18 02:25:02,2017-02-20 01:25:02
bf0a4d9289f94827a68bf8ed5f5679e5,78a9cec00ff94dd788aa5768c5d43412,3,2017-01-27 21:17:40,2017-01-29 17:17:40
e49e34d255434773b1a8e46dd18a9c80,a4d5872bf46a461db2018e11029e82d9,5,2017-01-19 19:50:55,2017-01-21 10:50:55
b476e9afd3ed41f38f2f47e1627b48d6,dd8e72ad153e439591200247e286c2a4,5,2017-01-14 08:08:24,2017-01-15 14:08:24
61072c2ee8dd43698e769a2dabbdefc2,39a5c820655045559c62a2d6f8442f1a,5,2017-01-28 09:42:25,2017-01-29 08:42:25
fd08b96f756e468a8624226a42c14d21,6a68cda0f3c24bfe92483ec2381cb438,2,2017-01-28 18:49:07,2017-01-30 11:49:07
da53531025ca4cad9aa32622643fff83,f260c3a870b14f3e9a2ab8b4fa07ab3b,4,2017-02-10 21:29:35,2017-02-11 12:29:35
996511d93a9b4605a7060481b1bf077b,6616b27f676b458caecf19d36b81d428,4,2017-01-29 03:52:38,2017-01-31 03:52:38
90a848866c1143b5a89ce3077680a361,a197adf4730d40ecbf193450c41f7b8d,5,2017-01-25 00:28:15,2017-01-25 07:28:15
32e28dbe19934e30a68b43ffc3bf5c97,3b6f14db43f0468aa8ca299b0e083797,5,2017-01-26 13:08:29,2017-01-28 10:08:29
9704920d4f1543b2b7b360b7b1d28c30,49b111d3ba634c2da9d60360f9241f77,5,2017-01-28 22:11:19,2017-01-29 17:11:19
5d47849dba6e42a9b6ac786a8bfa47b4,2bacb182a218483d84b3374275260766,5,2017-02-01 19:28:21,2017-02-02 18:28:21
0749ab347fed49c6b45c8614e5953969,f7bf739f812e4c94bc8d4e2a22470acf,5,2017-02-08 00:05:08,2017-02-08 17:05:08
9f7fd5caa1964f45ac47dcc4faa3acfa,529f5888353d4e14bf98419ce82edb87,2,2017-01-10 17:36:33,2017-01-12 02:36:33
