seller_id,seller_zip_code_prefix,seller_city,seller_state
66d49c18b5524dc29aeb90b323f413bd,49896,sao paulo,SP
2ed4092560c84ba8948868a127fc0351,61161,varzea grande,MT
81c5e9d9f1bd4daeadc1643821f35e78,32877,blumenau,SC
ac4169d02ea34fae9d93baaafc34b480,40318,brasilia,DF
b1feb4865f204f12a1347949b6c95df4,86686,porto alegre,RS
b2028c0a53094b74b7ad35d7e47e993c,13255,sao paulo,SP
0d0baa0da9134c8183f9f743bd296668,50710,santos,SP
444a33ea263c4105ae8a8def52561d1e,73443,brasilia,DF
b76a487de4e24008ac10cdef9cba7f88,08355,santos,SP
4ce0ecd9fa1b4c76baf81d894332e617,93123,sao paulo,SP
893c35ca3bf549e7bcb8f272f4a2a413,11837,uberlandia,MG
c5f0ce84a0284cf8a38316128f874ed4,57873,duque de caxias,RJ
66d1d0f300d44ad7a5ccdedaff444b42,75167,contagem,MG
0dd380b11fa7402fa7a635d1f801ac80,70226,rio de janeiro,RJ
846b09563dc249d99e2b2c306039e0b2,31115,porto alegre,RS
5c23f203ee134b40857f3dbd8cee3c96,91739,salvador,BA
4bab7527cd83446194302e64d3aa2c83,63324,ribeirao preto,SP
f487c4e206b9434296719c9f15e9c939,07102,guarulhos,SP
ea9b386fefb74eba95aee2c2d65e84ac,90709,rio de janeiro,RJ
1f29809f752444dda25e14d9d0f54216,72176,caucaia,CE
3288fea930f648bcb08cf7c42d5c1a23,87259,ribeirao preto,SP
e4e3e29bab7747d88138be8e8de3f0bb,24508,sao paulo,SP
035eefe7787347f99815aa2dcf5d785c,03052,contagem,MG
4c16dfabdfcd40ff9f75c35395ae153c,77943,campinas,SP
54eade16b4ce49138a2ad5f58feea560,99599,fortaleza,CE
4b531f0b66174575a2b9f6e1c69d0db4,11084,aparecida de goiania,GO
9e1d75c3180d4b3687245476520dff6b,22292,nova iguacu,RJ
64c755fc8e794807aa1e7ac44d5bd8bf,75277,uberlandia,MG
7ce60d39992c48a2af050d48eef284a2,89740,santos,SP
7e14739a846b404cb7d68b3f6e215d1d,51311,pelotas,RS
bcc5fa6ac4f94ce19c157ba2b7ae597c,91349,caxias do sul,RS
19bc0696124d483189d569137bfc7634,66639,sao paulo,SP
