product_id,category_name_portuguese,category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm,base_price
408aa0349beb458386099bee4de73f2f,cool_stuff,cool_stuff,1897,28,25,37,154.46
9a0b66b0a9894462a677a7753ec15993,cama_mesa_banho,bed_bath_table,1312,45,26,21,108.56
12d7b58f736e462198d4e09ab96b02ae,beleza_saude,health_beauty,1129,25,21,10,69.63
76f89498635440efb588ffa6c2ba5516,ferramentas_jardim,garden_tools,1050,19,22,17,85.57
935afd843cf044f5b377806802d8fc57,moveis_decoracao,furniture_decor,2672,27,20,13,132.78
bc30296f02f24b4b93b3866baa8d5cf2,informatica_acessorios,computers_accessories,1588,18,23,20,131.87
ec9c7eab7d7547b283acef3f61ba2bb0,informatica_acessorios,computers_accessories,1018,48,19,16,182.01
19cc7db5c3c446b4a1a0fdf3cf9e61b6,esporte_lazer,sports_leisure,523,32,5,14,120.91
e7e22254334c4241a4f7f10b94e9cca5,ferramentas_jardim,garden_tools,2090,31,19,22,83.25
35623c8345d24cb68bfa16e7657dd3e9,cama_mesa_banho,bed_bath_table,924,25,28,27,50.92
fd8c0fba06714c3a9c415e0e8a80fd18,cool_stuff,cool_stuff,1759,26,14,29,211.39
6df17696d73342739ad864d09cae209a,ferramentas_jardim,garden_tools,2245,21,17,27,169.14
79103318b4aa4d129894f8af4696a764,eletronicos,electronics,1116,28,11,15,110.31
b1c820d0d63841c0849fda9d65decdc1,automotivo,auto,2584,29,28,27,114.2
2e31fe13b09d4dcc8ee9c6a18d466b48,cama_mesa_banho,bed_bath_table,1789,45,19,37,29.51
eb64248b53324ce690a8e6996c3a7688,brinquedos,toys,2157,30,17,25,50.37
c227f3d90f144132b849fac930f459f2,utilidades_domesticas,housewares,1324,33,31,20,68.83
bdb096843dc74d8e93c7d91b7172af4f,beleza_saude,health_beauty,1098,39,22,20,147.96
2a337b6391aa44e894709bdc5bcb65b3,beleza_saude,health_beauty,1577,39,14,22,116.28
b965be3126b644c78e3c5e72f94fc559,cama_mesa_banho,bed_bath_table,329,32,22,25,89.14
51edbe8f96ce4a23896c6929928e3a8a,informatica_acessorios,computers_accessories,367,25,17,18,137.74
ee54c878e5234c548abc2c4229bf7f30,informatica_acessorios,computers_accessories,1823,48,21,27,141.65
464c79d853b0432ba4b83d1781a73aa8,automotivo,auto,100,29,20,44,132.31
87ee03b5ead34912a6bf482ca54a45c9,brinquedos,toys,1741,29,10,34,132.56
8b693d0a6330457988fa1a1535cf109f,beleza_saude,health_beauty,2132,20,31,13,150.54
3faa1d6f690a430f81107478344cc374,automotivo,auto,3252,20,15,25,119.86
b5747eff176f4fc4b7de7b2842e3cadc,informatica_acessorios,computers_accessories,259,30,11,28,103.63
2f8d54dd93b24111928889c1b7738d9b,ferramentas_jardim,garden_tools,2739,22,17,31,91.92
