order_id,payment_sequential,payment_type,payment_installments,payment_value
bb59a3f5e6804be6831960a72d691d75,1,credit_card,6,151.33
768c38019e624d58a2664e20aa4bf733,1,credit_card,5,153.07
445f34b83bd843d5a0f5d1481d7c7f6f,1,credit_card,3,124.36
5317cd4429524bf0b10d1ec3d66e10fb,1,credit_card,6,190.17
0879475d183e4218ab33ce360a8631be,1,credit_card,2,156.6
78a9cec00ff94dd788aa5768c5d43412,1,credit_card,5,104.33
a4d5872bf46a461db2018e11029e82d9,1,boleto,1,166.18
dd8e72ad153e439591200247e286c2a4,1,debit_card,1,86.76
39a5c820655045559c62a2d6f8442f1a,1,boleto,1,252.47
6a68cda0f3c24bfe92483ec2381cb438,1,credit_card,2,203.87
f260c3a870b14f3e9a2ab8b4fa07ab3b,1,credit_card,4,171.15
6616b27f676b458caecf19d36b81d428,1,credit_card,6,329.05
a197adf4730d40ecbf193450c41f7b8d,1,credit_card,3,158.34
3b6f14db43f0468aa8ca299b0e083797,1,credit_card,4,108.92
49b111d3ba634c2da9d60360f9241f77,1,credit_card,3,153.76
2bacb182a218483d84b3374275260766,1,credit_card,3,140.22
f7bf739f812e4c94bc8d4e2a22470acf,1,credit_card,3,122.45
529f5888353d4e14bf98419ce82edb87,1,debit_card,1,330.45
c68f05b463274e5fada5eee9fd332a14,1,credit_card,4,96.98
cdb50ea86d3b463f883e624d697c7090,1,credit_card,6,146.05
a45452d79ae54440abdbfa3d7316b634,1,credit_card,2,152.72
8ed5fd453a1d4e33a494218638b71ae9,1,credit_card,4,170.58
15a15b450a6244a8adfcaff5e69e9741,1,boleto,1,123.03
7d8854e17a7a47689a08ae249a1192ee,1,boleto,1,195.85
3375d877b30a4503bd8e8ff236e1abea,1,credit_card,5,154.77
d6e9b600d6084a4b84d6f9136c56ce67,1,credit_card,2,135.8
7a6125610fa44732ae9da766a0333708,1,voucher,1,135.38
4ea17dc447054c7da70f33b8300d9d3f,1,boleto,1,325.41
4c6f64a4d480484c8dcf94ad520a7f3d,1,boleto,1,192.3
33c12bcbd267493d84a1e4f815a8e3fc,1,credit_card,4,118.33
08f03ea64d114226b44eddc2f11baa3a,1,credit_card,3,132.7
b112624f0f904c4f953ef1c28e12d25f,1,credit_card,5,356.03
60ce67fd7e1d4d7e905ea06c12f6a810,1,credit_card,6,100.29
5a244264b59d44ad859937ced69e8e18,1,boleto,1,157.51
bd48abf2d00f4d8a9b0cf447a3aea182,1,boleto,1,243.7
a7dda544a633474bbf05c8d1abb377bd,1,credit_card,6,106.25
1f4d449e5f024055a6ce98108e171991,1,voucher,1,141.3
