order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
4893d3c9eae44a6d86868137daa4a5c3,44e6ec2ba5b747759184bd18bc5fe15e,delivered,2017-01-12 02:01:12,2017-01-12 12:27:12,2017-01-14 10:27:12,2017-01-21 02:01:12,2017-02-02 02:01:12
ac077e5ccfa549ce98c7efc80f9fa93e,943656b422de48db85b12879ebb44266,delivered,2017-01-27 18:57:11,2017-01-27 19:20:11,2017-01-29 05:20:11,2017-02-09 18:57:11,2017-02-22 18:57:11
9d063cf7e21c4aeb965da9d62bb2102d,d2dd98ea7bb84cf2a18942fb40a76a03,delivered,2017-01-16 13:38:52,2017-01-16 21:19:52,2017-01-18 19:19:52,2017-02-02 13:38:52,2017-02-06 13:38:52
f04d15b3f9224cda87ed5b8fc3eaf68b,a026dd193b924bb995116d9c754ed23a,delivered,2017-01-18 18:06:16,2017-01-18 19:35:16,2017-01-20 05:35:16,2017-01-30 18:06:16,2017-02-06 18:06:16
4793b0e65a8541988e831d301edd2a44,6c97668c70354796801b8fd7c483c57a,delivered,2017-01-31 02:25:02,2017-01-31 07:11:02,2017-02-03 02:11:02,2017-02-17 02:25:02,2017-02-22 02:25:02
1dc14a5e161840a898f61e52f34fe740,cbd3ee151f684037aa33597c77a1277b,delivered,2017-01-09 21:17:40,2017-01-10 02:28:40,2017-01-11 19:28:40,2017-01-26 21:17:40,2017-02-04 21:17:40
f40dcc36c0e047bd9a5c26a6884255ff,45c5f39cb4574b02b805593c2e4f902b,delivered,2017-01-13 19:50:55,2017-01-14 01:13:55,2017-01-15 22:13:55,2017-01-18 19:50:55,2017-02-07 19:50:55
c7c6f6274f914d17b571fdf2ed9795a5,6e0aed0b3c3a4f82978b708d2dd75074,delivered,2017-01-03 08:08:24,2017-01-03 16:34:24,2017-01-04 20:34:24,2017-01-13 08:08:24,2017-01-20 08:08:24
fa2b9f160c7246998ac62f6f78edd471,aa3667665ce9478aae5eaad0048f22dc,delivered,2017-01-13 09:42:25,2017-01-13 12:12:25,2017-01-15 01:12:25,2017-01-27 09:42:25,2017-02-01 09:42:25
86bf15b7371744ef8afcaf7b480e1f15,5cbef52f85d34db79ab49d7c9a37c4bb,delivered,2017-01-24 18:49:07,2017-01-25 02:36:07,2017-01-26 13:36:07,2017-01-27 18:49:07,2017-02-13 18:49:07
fa8a61ec0cc14b7da8d6f2d38ebb6eaa,0c5ce2293204494b9f0904cf2fd001b3,delivered,2017-01-31 21:29:35,2017-02-01 08:10:35,2017-02-03 23:10:35,2017-02-09 21:29:35,2017-02-18 21:29:35
