customer_unique_id,customer_id,customer_zip_code_prefix,customer_city,customer_state,first_order_timestamp,cohort_month
1741b5b4901d4501a689d4a1ed893738,cbb9e52175cd4efc8a71dd470dfdebbc,27522,cuiaba,MT,2017-01-12 02:01:12,2017-01
2b9a458e60dd4fdc816603aadbf6587d,fe0423bafaf24c138aaea71b5e56e838,67107,ribeirao preto,SP,2017-01-27 18:57:11,2017-01
21cb3a1fcb0e49f0a733937bf4aa3dc7,b7e0f825270141e682550652bedce88c,56023,serra,ES,2017-01-16 13:38:52,2017-01
fd8403eb63434ea3ae7ab6adb5f6be73,ddd76ade467f4e4a88fcb16c4cd13df9,80365,campinas,SP,2017-01-18 18:06:16,2017-01
5f11f99061874de88f45454d1bdd262c,eae351dfb0f140159c3dc94eb4c7a64a,24255,curitiba,PR,2017-01-31 02:25:02,2017-01
623cef1cb02a402e96fbf57325601864,6aef1d1944e04e6ea553256a61ad9f7d,81576,duque de caxias,RJ,2017-01-09 21:17:40,2017-01
1d01fd8820444373902439292ef3d209,2232718fea4546549843615d1ee20168,70655,curitiba,PR,2017-01-13 19:50:55,2017-01
f9e8add0100840c79a82b7307dad686d,bb2a551a2421422787ffc9c255a621b1,99616,ribeirao preto,SP,2017-01-03 08:08:24,2017-01
5d33ffa72c20478d9b4572fa29ed3db5,4d28bf6836784999bacf6e88734679db,13214,sao paulo,SP,2017-01-13 09:42:25,2017-01
016eb31e79304457b92fc15b2ce88db3,6065f4b6221e4d88a6ae62ad9d6a98e1,87427,santos,SP,2017-01-24 18:49:07,2017-01
6b1df6661dea40b1b3a78f1ab5d840ff,3be48f609d9a41669e0f97525854b859,80098,brasilia,DF,2017-01-31 21:29:35,2017-01
8a50fe35cc4a482a818183a6e9df9c5a,ddef6f35346647beb621e61ac5b5d2c7,01157,ribeirao preto,SP,2017-01-19 03:52:38,2017-01
1a8938b51b3a42dfac61da36802aa4ea,eea860ec98004d378842e12e456a6ff2,69425,canoas,RS,2017-01-11 00:28:15,2017-01
f056a57020244f8a92910eae7dcaff66,5bd4b749fc674900a8558e4e8a150688,49546,feira de santana,BA,2017-01-09 13:08:29,2017-01
9385e5f5a19447bf93190b751ce8a103,dc954694547e49e1a1ac5409b66577ab,92441,goiania,GO,2017-01-15 22:11:19,2017-01
ac096865a7fb4912832d7efd492a9da9,76f599cac2064882a1382a6aaade5729,57224,ribeirao preto,SP,2017-01-19 19:28:21,2017-01
430e48f974c84faf966629210ee0c83d,b8ab6a72b7f74e3bbe028749324c5f12,64192,goiania,GO,2017-01-26 00:05:08,2017-01
ffd9749a80e449d5a8843a2dd7f8a58d,3df2e3f591f642caac25f21ebfbab3eb,46943,santos,SP,2017-01-02 17:36:33,2017-01
ccea270e632945f38328f11ea61bcc28,837af6d1c2164ecb8cf0f7633d844cd6,56769,curitiba,PR,2017-01-14 13:58:50,2017-01
7a62c6b9beba4daeac46e9f4cd110862,4663535299b9472798c6ce105a2d3ec3,34360,caxias do sul,RS,2017-01-10 01:43:59,2017-01
94eb2f2901c5408d86f149de307a5099,01f57a638eec455d9d1f82a46fdbf8a5,31475,santos,SP,2017-01-22 19:22:37,2017-01
fd975bdd6b3f450fbc92f715210e5487,63c921223bf94cf1a019bd384faeeae0,38128,sao paulo,SP,2017-01-22 06:27:46,2017-01
152e35ecbe544e19bd737d6543f71780,5a6f87e242ec432c8f4256da3f3911f9,34791,duque de caxias,RJ,2017-01-07 20:05:17,2017-01
142fff984d704f08ad8848d339d49332,d3296acc932243ec970696ee83e108d5,01716,niteroi,RJ,2017-01-16 05:01:56,2017-01
65fbd6282001494290c2c00e9deda2c3,ef1f71d48d7e4028afc0ef40abc13888,98471,serra,ES,2017-01-27 10:56:52,2017-01
e14d7e653d1f4803bcf1359f03e9703b,15fdfb60c71043f1924b6df70c515ace,76757,sao paulo,SP,2017-01-13 01:29:10,2017-01
7fa7a64aa1184b5f8e15b5dc93e0cd40,3f1b317570234a778ea747927f867ff9,16444,jaboatao,PE,2017-01-21 17:46:45,2017-01
